Pagina,Codigo,Pontos,Preco Normal,Preco Promocional,Desconto
64,122121,null,null,null,null
64,122116,null,null,null,null
64,122118,null,null,null,null
64,122119,null,null,null,null
64,122113,null,null,null,null
64,122115,null,null,null,null
64,110181,null,null,null,null
64,110182,null,null,null,null
64,110183,null,null,null,null
64,110184,null,null,null,null
64,110185,null,null,null,null
64,110186,null,null,null,null
64,110187,null,null,null,null
64,110188,null,null,null,null
64,110189,null,null,null,null
64,110192,null,null,null,null
64,110191,null,null,null,null
64,110190,null,null,null,null
64,110193,null,null,null,null
64,110194,null,null,null,null
64,110195,null,null,null,null
64,110196,null,null,null,null
64,110197,null,null,null,null
64,110199,null,null,null,null
64,110200,null,null,null,null
64,110198,null,null,null,null
64,110201,null,null,null,null
64,110202,null,null,null,null
64,110204,null,null,null,null
64,110203,null,null,null,null
65,92520,05 pt,R$ 57,null,null
65,92529,null,null,null,null
65,27247,null,null,null,null
65,92536,null,null,null,null
65,76643,null,null,null,null
65,27251,null,null,null,null
65,92526,null,null,null,null
66,54382,06 pt,"R$ 63,90",null,null
66,54403,05 pt,"R$ 49,90",null,null
66,54406,06 pt,"R$ 59,90",null,null
66,106287,05 pt,"R$ 49,90",null,null
66,107323,04 pt,"R$ 45,90",null,null
66,107327,05 pt,"R$ 56,90",null,null
66,107325,05 pt,R$ 57,null,null
66,107326,null,null,null,null
66,92573,null,null,null,null
66,92551,null,null,null,null
66,92567,null,null,null,null
66,92566,null,null,null,null
66,92549,null,null,null,null
66,92603,null,null,null,null
66,92604,null,null,null,null
66,106290,null,null,null,null
66,106286,null,null,null,null
66,106289,null,null,null,null
66,106288,null,null,null,null
66,97700,null,null,null,null
66,17276,null,null,null,null
66,17352,null,null,null,null
66,97701,null,null,null,null
66,17275,null,null,null,null
66,107324,null,null,null,null
66,119423,null,null,null,null
66,119427,null,null,null,null
66,119426,null,null,null,null
66,119424,null,null,null,null
66,119425,null,null,null,null
66,54378,null,null,null,null
66,93505,null,null,null,null
67,118796,06 pt,"R$ 63,90",null,null
67,118795,08 pt,"R$ 79,90",null,null
67,118794,02 pt,"R$ 29,90",null,null
67,108460,04 pt,"R$ 45,90",null,null
67,107331,null,null,null,null
67,118789,null,null,null,null
67,118786,null,null,null,null
68,34262,07 pt,"R$ 72,90",null,null
68,70720,06 pt,"R$ 64,90",null,null
68,70721,06 pt,"R$ 62,90",null,null
68,27703,06 pt,R$ 67,null,null
68,27371,06 pt,R$ 67,null,null
68,17043,08 pt,"R$ 79,90",null,null
68,17042,10 pt,"R$ 99,90",null,null
68,95757,11 pt,"R$ 109,90",null,null
68,106122,08 pt,"R$ 79,90",null,null
68,106123,08 pt,"R$ 79,90",null,null
68,106124,12 pt,"R$ 119,90",null,null
68,106121,19 pt,"R$ 189,99",null,null
68,106120,null,null,null,null
68,140742,null,null,null,null
68,70723,null,null,null,null
68,70722,null,null,null,null
69,124319,05 pt,"R$ 54,90",null,null
69,106136,02 pt,"R$ 29,90",null,null
69,106134,null,null,null,null
69,106135,null,null,null,null
69,106139,null,null,null,null
69,106132,null,null,null,null
69,106131,null,null,null,null
69,106128,null,null,null,null
69,106130,null,null,null,null
69,106129,null,null,null,null
69,106126,null,null,null,null
69,106125,null,null,null,null
69,106127,null,null,null,null
69,106138,null,null,null,null
69,106137,null,null,null,null
